id,text,scenario,confidence,source_film,start_timestamp,end_timestamp,context_before,context_after,catalan_markers
Vicky Cristina Barcelona_2008_4061345_179,Piénsenlo bien.,farewells,0.8,Vicky Cristina Barcelona,"00:12:04,322","00:12:05,215",Es lo suficientemente grande para los tres y soy un buen piloto. | Suena muy seguro.,Espero que estés bromeando acerca de ir. | Este tipo es muy interesante. ¿Interesante?,
Vicky Cristina Barcelona_2008_4061345_194,Creo que es muy atractivo. Tiene una buena apariencia. Es muy sexy.,opinions,0.8,Vicky Cristina Barcelona,"00:12:51,723","00:12:56,300","Encuentras su agresividad atractiva, pero yo no. | Y, ciertamente, no es atractivo.","Bueno, claro, porque eres una neurótica. | Mira, tienes que admitir que su acercamiento fue muy auténtico.",lexical:apa
Vicky Cristina Barcelona_2008_4061345_203,¿Hola? Hola. No puedo hablar ahora.,greetings,0.883058729171753,Vicky Cristina Barcelona,"00:13:16,262","00:13:20,732","y estuviera libre para tener algún tipo de romance con un español, | no lo elegiría a él.","Intento salvar a Cristina de cometer un error fatal. | ¿Qué? No, lo de siempre.",
Vicky Cristina Barcelona_2008_4061345_207,Yo también te amo.,emotions,0.975601806640625,Vicky Cristina Barcelona,"00:13:30,559","00:13:31,496","¿Qué? No, lo de siempre. | Te llamo después.","Si volvemos ahora a la casa, | podemos meter unas cosas en la maleta y nos encontramos con él de nuevo.",
Vicky Cristina Barcelona_2008_4061345_208,"Si volvemos ahora a la casa,",family,0.8,Vicky Cristina Barcelona,"00:13:31,966","00:13:33,650",Te llamo después. | Yo también te amo.,podemos meter unas cosas en la maleta y nos encontramos con él de nuevo. | Me gustó de inmediato.,
Vicky Cristina Barcelona_2008_4061345_223,"Por la mañana, habían llegado a su destino",plans,0.8,Vicky Cristina Barcelona,"00:14:36,667","00:14:38,916","¿Te gustaría pilotarlo? No, gracias. | Es fácil. Es más fácil que un auto, inténtalo.","y fueron a un hotel que Juan Antonio eligió para ellas. | Vicky se aseguró de que ella y Cristina tuvieran su propia habitación,",
Vicky Cristina Barcelona_2008_4061345_252,De acuerdo.,farewells,0.779249496459961,Vicky Cristina Barcelona,"00:16:33,724","00:16:34,895",y Juan Antonio estaba un poco borracho. | De nada.,Bueno. | Ahora que el día casi se ha acabado.,
Vicky Cristina Barcelona_2008_4061345_261,Creo que sigues herido por el fracaso de tu matrimonio con María Elena,opinions,0.8,Vicky Cristina Barcelona,"00:17:03,349","00:17:08,468","No. Mira, no estoy libre. Estoy comprometida. | ¿Sabes cuál es mi teoría? Cuando bebo, soy brutalmente franca.",y tratas de perderte en un sexo vacío. | ¿Sexo vacío? ¿Esa es la opinión que tienes de ti misma?,
Vicky Cristina Barcelona_2008_4061345_277,Hola. Hola.,greetings,1.0,Vicky Cristina Barcelona,"00:18:05,926","00:18:07,622","¿Y tú? | Yo iré a tu habitación, pero tienes que seducirme.","Sólo estoy aquí para beber algo rápido, | para darte las gracias, después vuelvo a mi habitación.",
Vicky Cristina Barcelona_2008_4061345_287,Estropearlo. ¿Quieres decir de arruinar el momento?,plans,0.8,Vicky Cristina Barcelona,"00:18:44,756","00:18:47,470","Tú eres mucho más de terminar las cosas, a no ser. | que lo estropees. ¿Estropearlo?",Sí. | ¿Y cómo haría yo eso?,
Vicky Cristina Barcelona_2008_4061345_293,"Aunque. de alguna manera, mirándote",farewells,0.6477220726013184,Vicky Cristina Barcelona,"00:19:01,490","00:19:04,562",comentario absurdo hasta. | vestir el tipo de shorts equivocados.,vistes los shorts adecuados. | Eres muy difícil de complacer.,
Vicky Cristina Barcelona_2008_4061345_297,¿Y qué quieres en la vida aparte de un hombre con los shorts adecuados?,plans,0.8,Vicky Cristina Barcelona,"00:19:17,666","00:19:21,742","Eres muy difícil de complacer. | Sí, bueno. soy famosa por mi intolerancia.",No lo sé. | Sé que no voy a asentarme hasta que encuentre lo que busco.,lexical:apa
Vicky Cristina Barcelona_2008_4061345_308,¿Estás bien?,greetings,0.6348894309997559,Vicky Cristina Barcelona,"00:20:29,232","00:20:30,318","No sé lo que quiero. Sólo sé lo que no quiero. | Si no empiezas a desvestirme rápido, esto empezará a ser un debate.","Sí, estoy bien. Es algo que comí. | ¿Qué pasa? ¿Te traigo algo?",
Vicky Cristina Barcelona_2008_4061345_316,"Sí, descansar, descansar.",farewells,0.6616377067565918,Vicky Cristina Barcelona,"00:20:52,190","00:20:53,419","Dios, ambas. | Debe descansar. No comer. ¿Descansar?","Con Cristina en cama, Vicky estaba ansiosa | por regresar a Barcelona y sin ganas de hacer turismo.",
Vicky Cristina Barcelona_2008_4061345_329,Así que por un pequeño momento de pasión,farewells,0.6433878135681153,Vicky Cristina Barcelona,"00:21:34,970","00:21:37,454","No porque tiene la mente de una adolescente | y siendo romántica, tiene ganas de morir.",abandona completamente las responsabilidades. | Después del almuerzo Juan Antonio llevó a Vicky a ver el antiguo faro en Avilés,
Vicky Cristina Barcelona_2008_4061345_336,"No, creo que esa es la primera proposición interesante que has hecho.",opinions,0.7773062372207641,Vicky Cristina Barcelona,"00:22:02,061","00:22:07,320",Sería pecado si me fuera de aquí sin visitar a mi padre. ¿Te aburriría? | No.,"Me encantaría ver a tu padre y su casa. | Si continuamos, no creo--",
Vicky Cristina Barcelona_2008_4061345_337,Me encantaría ver a tu padre y su casa.,family,0.7788787269592284,Vicky Cristina Barcelona,"00:22:07,360","00:22:11,146","No. | No, creo que esa es la primera proposición interesante que has hecho.","Si continuamos, no creo-- | Está bien. Eso fue genial. Él no habla inglés.",
Vicky Cristina Barcelona_2008_4061345_340,Estoy segura de que mi español va a salir.,plans,0.6244571948051453,Vicky Cristina Barcelona,"00:22:46,952","00:22:49,090","Si continuamos, no creo-- | Está bien. Eso fue genial. Él no habla inglés.",Se niega a hablar en otro idioma. Es un tema importante para mi padre. | ¿En serio? ¿Por qué?,
Vicky Cristina Barcelona_2008_4061345_347,y las cosas que te puedes perder.,requests,0.8,Vicky Cristina Barcelona,"00:23:11,115","00:23:12,730","debería contaminar sus palabras en cualquier otra lengua. | Tiene sentido. Entiendo, porque debido a la traducción","Tomé algunas clases de español. Claro, no tengo facilidad con los idiomas. | Lo leo mucho mejor que lo hablo.",
Vicky Cristina Barcelona_2008_4061345_353,Te lo explicaré después. ¿Quieres coñac?,farewells,0.6512920570373536,Vicky Cristina Barcelona,"00:23:27,206","00:23:30,039","No, no publica. Ésa es la cuestión. | Bueno. ¿Por qué no?","Sí, gracias. Sólo muy, muy, muy poquito. | Te veo bien, tienes cara de salud, papá.",
Vicky Cristina Barcelona_2008_4061345_355,"Te veo bien, tienes cara de salud, papá.",family,0.8,Vicky Cristina Barcelona,"00:23:36,035","00:23:37,856","Te lo explicaré después. ¿Quieres coñac? | Sí, gracias. Sólo muy, muy, muy poquito.","Sí, tú también pareces saludable. | ¿Qué sabes de María Elena?",
Vicky Cristina Barcelona_2008_4061345_361,"Sí, también te quería mucho a ti, papá.",family,0.8,Vicky Cristina Barcelona,"00:23:54,078","00:23:55,816","Esa mujer era la mejor. | Aún tengo sueños eróticos con ella, a mi edad.","Qué pena, con ese don de Dios. | Éste era mi lugar favorito para leer cuando era joven.",
Vicky Cristina Barcelona_2008_4061345_369,Cristina es una chica muy interesante. ¿Quieres sentarte?,plans,0.8,Vicky Cristina Barcelona,"00:24:28,109","00:24:30,445","sentimientos auténticos, y tenía que encontrar una forma de expresarlos. | Cristina dice lo mismo.",Sí. | Entonces.,
Vicky Cristina Barcelona_2008_4061345_375,"negárselas al público, lo que creo que es.",opinions,0.7990293407440185,Vicky Cristina Barcelona,"00:24:49,487","00:24:52,118",Porque odia el mundo. | y esta es su manera de devolvérsela: crear obras maravillosas y entonces.,"Dios mío. | Bueno, ¿qué le hace estar tan enfadado con la raza humana?",
Vicky Cristina Barcelona_2008_4061345_377,"Bueno, ¿qué le hace estar tan enfadado con la raza humana?",emotions,0.8,Vicky Cristina Barcelona,"00:24:54,363","00:24:58,745","negárselas al público, lo que creo que es. | Dios mío.",Que después de miles de años de civilización. | aún no han aprendido a amar.,
Vicky Cristina Barcelona_2008_4061345_394,¿Cómo--? ¿Cariño?,greetings,0.6468717765808106,Vicky Cristina Barcelona,"00:25:53,354","00:25:54,228",que les gusta incluso más que la de Bedford Hills. | ¿Sí? Te escucho un poco entrecortado.,"Llámame después, pero esta casa tiene piscina y pista de tenis. | Podríamos tomar clases con el profesor de Paul.",
Vicky Cristina Barcelona_2008_4061345_395,"Llámame después, pero esta casa tiene piscina y pista de tenis.",family,0.6196634435653686,Vicky Cristina Barcelona,"00:25:55,000","00:25:57,954",¿Sí? Te escucho un poco entrecortado. | ¿Cómo--? ¿Cariño?,"Podríamos tomar clases con el profesor de Paul. | Está bien, te llamaré. No te oigo.",
Vicky Cristina Barcelona_2008_4061345_398,Te quiero.,emotions,1.0,Vicky Cristina Barcelona,"00:26:05,240","00:26:06,352","Podríamos tomar clases con el profesor de Paul. | Está bien, te llamaré. No te oigo.",Dios. La conexión es horrible. | Toma. Gracias.,
Vicky Cristina Barcelona_2008_4061345_400,Toma. Gracias.,farewells,0.8,Vicky Cristina Barcelona,"00:26:16,547","00:26:18,159",Te quiero. | Dios. La conexión es horrible.,¿Qué vino es este? Está delicioso. Es genial. | ¿Era tu prometido?,
Vicky Cristina Barcelona_2008_4061345_410,"Es decir, no creo que le gustara la idea en sí.",opinions,0.6669860863685608,Vicky Cristina Barcelona,"00:26:45,118","00:26:49,237","¿Se molestaría si supiera que estamos cenando juntos? | ¡No, para nada! ¿Estás de broma?","de mí sentada con un hombre bebiendo vino a la luz de las velas. | pero pronto se daría cuenta de que no hay nada de qué preocuparse, así que.",
Vicky Cristina Barcelona_2008_4061345_430,¿Te gustaría venir a oír una guitarra maravillosa esta noche?,plans,0.8,Vicky Cristina Barcelona,"00:27:51,745","00:27:55,549","También he oído que admiras la guitarra española. | Sí, sí. Me encanta la guitarra.","¿Esta noche? | Bueno, es un poco tarde, y.",lexical:che
Vicky Cristina Barcelona_2008_4061345_431,¿Esta noche?,plans,0.9078080081939698,Vicky Cristina Barcelona,"00:27:56,069","00:27:57,232","Sí, sí. Me encanta la guitarra. | ¿Te gustaría venir a oír una guitarra maravillosa esta noche?","Bueno, es un poco tarde, y. | estoy un poco mareada por el vino.",lexical:che
Vicky Cristina Barcelona_2008_4061345_435,"Además, nos vamos mañana.",plans,1.0,Vicky Cristina Barcelona,"00:28:08,067","00:28:09,794",estoy un poco mareada por el vino. | Dijiste que podías aguantar el alcohol.,"De acuerdo, está bien. Genial. | Ha sido increíble. Gracias, gracias.",
Vicky Cristina Barcelona_2008_4061345_437,"Ha sido increíble. Gracias, gracias.",farewells,0.6115843963623048,Vicky Cristina Barcelona,"00:29:13,680","00:29:17,442","Además, nos vamos mañana. | De acuerdo, está bien. Genial.","Estaba mirando tu cara y parecías muy conmovida. | Sí, sí. Algunas veces vi una mirada como ésa.",
Vicky Cristina Barcelona_2008_4061345_457,Estaba mirando tu cara porque me parece muy bonita.,opinions,0.8,Vicky Cristina Barcelona,"00:30:21,862","00:30:25,470",Probablemente viste mis lágrimas. | Sí. estoy un poco descontrolado.,¿De verdad? Por supuesto. | Por supuesto. Sabes que sí.,
Vicky Cristina Barcelona_2008_4061345_460,"Durante el regreso a casa, Vicky, que",family,0.8,Vicky Cristina Barcelona,"00:31:04,832","00:31:06,568",¿De verdad? Por supuesto. | Por supuesto. Sabes que sí.,"no le había mencionado nada a Cristina, estaba callada. | Cristina, en cambio, hablaba nerviosamente.",
Vicky Cristina Barcelona_2008_4061345_491,Es genial. Estoy feliz por ti.,emotions,1.0,Vicky Cristina Barcelona,"00:32:39,150","00:32:41,748","¿No es maravilloso? Sí, sí. | No puedo creerlo. Nunca pensé que me llamaría.","Esa noche, ambas mujeres tuvieron problemas para dormirse. | Cristina se sentó en la cocina, a tomar café y trabajar en su poesía.",
Vicky Cristina Barcelona_2008_4061345_497,"Hola, cariño. ¿Te desperté?",greetings,1.0,Vicky Cristina Barcelona,"00:33:15,008","00:33:17,332",de una noche que cada vez parecía más irreal. | ¿Hola?,"No, no. Estaba por irme a dormir. | Lamento llamar tan tarde. Tuve que salir de la oficina.",
Vicky Cristina Barcelona_2008_4061345_511,y los amigos de papá realmente nos facilitarían las cosas.,family,0.7414702796936036,Vicky Cristina Barcelona,"00:33:53,676","00:33:56,125",¿Por qué no? Sería genial decirle a | nuestros hijos que nos casamos en España,No sé qué decir. | No pareces muy emocionada.,
Vicky Cristina Barcelona_2008_4061345_522,"Bueno, yo.",farewells,0.6506948661804199,Vicky Cristina Barcelona,"00:34:25,686","00:34:27,610","Los llamé antes y dijeron que ojalá ellos lo hubiesen hecho. | Quiero decir, en Londres en su caso, pero estaban entusiasmados.",Pareces un poco reacia. | ¿Yo? No. ¿Por qué lo voy a estar?,
Vicky Cristina Barcelona_2008_4061345_526,creo que es una buena idea. Creo que es genial. Es una idea genial.,opinions,0.9226539993286133,Vicky Cristina Barcelona,"00:34:41,026","00:34:45,464","¿Yo? No. ¿Por qué lo voy a estar? | No, yo.","Sí, creo que será bueno. | Te llamaré mañana. Sé que te desperté.",
Vicky Cristina Barcelona_2008_4061345_527,"Sí, creo que será bueno.",opinions,0.9926353359222412,Vicky Cristina Barcelona,"00:34:45,584","00:34:48,196","No, yo. | creo que es una buena idea. Creo que es genial. Es una idea genial.",Te llamaré mañana. Sé que te desperté. | Te daré mas detalles mañana. Te amo muchísimo.,
Vicky Cristina Barcelona_2008_4061345_528,Te llamaré mañana. Sé que te desperté.,plans,0.8,Vicky Cristina Barcelona,"00:34:48,233","00:34:50,785","creo que es una buena idea. Creo que es genial. Es una idea genial. | Sí, creo que será bueno.",Te daré mas detalles mañana. Te amo muchísimo. | Juan Antonio llevó a Cristina a una cata de vinos.,
Vicky Cristina Barcelona_2008_4061345_531,"Luego, la llevó a su casa, un lugar bonito",family,0.8,Vicky Cristina Barcelona,"00:35:32,189","00:35:34,724",Te daré mas detalles mañana. Te amo muchísimo. | Juan Antonio llevó a Cristina a una cata de vinos.,que había comprado a otro pintor hacía años | y que le servía como hogar y como estudio.,
Vicky Cristina Barcelona_2008_4061345_543,Juan invitó a Cristina a salir varias veces más.,plans,0.8,Vicky Cristina Barcelona,"00:36:57,959","00:37:00,159","ninguna otra en ese dormitorio. hasta ahora. | Esta vez, Cristina conservó la comida en su estómago.",Fueron a ver una nueva escultura de un amigo de él. | Le mostro algunos de sus lugares favoritos,
Vicky Cristina Barcelona_2008_4061345_558,"¿Cómo estás? Dios mío, ¿qué haces aquí?",greetings,1.0,Vicky Cristina Barcelona,"00:37:58,047","00:38:00,590",Vicky. | Hola.,Nada. Haciendo unos bosquejos. | Bien.,
Vicky Cristina Barcelona_2008_4061345_562,"Molestarme, no. ¿Cómo podrías molestarme?",requests,0.8,Vicky Cristina Barcelona,"00:38:09,089","00:38:11,276","Bien. | Bueno, no quise molestarte.","Nunca tuvimos la oportunidad de despedirnos correctamente. | Bueno, podrías haberme llamado.",
Vicky Cristina Barcelona_2008_4061345_564,"Bueno, podrías haberme llamado.",requests,0.8,Vicky Cristina Barcelona,"00:38:16,614","00:38:18,878","Molestarme, no. ¿Cómo podrías molestarme? | Nunca tuvimos la oportunidad de despedirnos correctamente.","Sí, lo medité. Pero no me pareció que tuviese mucho sentido. | Pero nunca llamaste, para decir algo.",
Vicky Cristina Barcelona_2008_4061345_567,"""Gracias. Fue divertido. """,farewells,0.6065685462951661,Vicky Cristina Barcelona,"00:38:32,013","00:38:33,358","Sí, lo medité. Pero no me pareció que tuviese mucho sentido. | Pero nunca llamaste, para decir algo.","No le haces el amor a alguien para no volverla a llamar nunca más, | a menos que estés muy desilusionado.",
Vicky Cristina Barcelona_2008_4061345_582,De acuerdo. Bien.,farewells,0.7205436897277833,Vicky Cristina Barcelona,"00:39:20,172","00:39:22,120",María Elena solía decir que | sólo los amores imposibles podían ser románticos.,"Bueno, la verdad es que eres más apropiado para Cristina. | Le he tomado mucho cariño a Cristina.",
Vicky Cristina Barcelona_2008_4061345_604,"Ven, abrázame. Abrázame.",farewells,0.7594326210021973,Vicky Cristina Barcelona,"00:41:20,689","00:41:23,098",Estaba haciendo un cumplido. | Quizá sea el aire de Barcelona.,¿Estás bien? Sí. | ¿Cómo está Cristina?,
Vicky Cristina Barcelona_2008_4061345_605,¿Estás bien? Sí.,greetings,0.6714021873474122,Vicky Cristina Barcelona,"00:41:26,489","00:41:28,420","Quizá sea el aire de Barcelona. | Ven, abrázame. Abrázame.","¿Cómo está Cristina? | Bueno, ya sabes se mudo con un tipo.",
Vicky Cristina Barcelona_2008_4061345_626,"¿Qué, mañana para el almuerzo?",plans,0.9649347686767579,Vicky Cristina Barcelona,"00:42:38,711","00:42:40,190","Pensaba que podríamos almorzar, todos nosotros | y luego ir a verlo juntos.","No podemos. Tenemos planes. | No, podemos ir a navegar con Mark y Judy cualquier día.",
Vicky Cristina Barcelona_2008_4061345_630,"Sí, podría ser genial. Mañana. De acuerdo.",farewells,0.6770597648620607,Vicky Cristina Barcelona,"00:42:49,620","00:42:53,749","No, podemos ir a navegar con Mark y Judy cualquier día. | Quiero ir con Cristina y Juan Antonio. Realmente quiero ir a navegar.","Las dos parejas se juntaron a almorzar y durante la conversación, | se presentó un momento incómodo.",
Vicky Cristina Barcelona_2008_4061345_639,Y muy adecuado para ti.,farewells,0.6119579505920411,Vicky Cristina Barcelona,"00:43:50,950","00:43:52,195","Veo porque amas a tu prometido. Es encantador. | Sí, es adorable.",No me gusta la forma en que has dicho eso. | Sólo digo que hacen una pareja confortable en el mejor sentido.,
Vicky Cristina Barcelona_2008_4061345_644,"Vicky, por favor. No podemos entrar en esta conversación otra vez",requests,0.8,Vicky Cristina Barcelona,"00:44:07,077","00:44:10,351",No lo entiendes. No puedo hacer nada ahora. | No digo que la idea no haya cruzado por mi mente pero.,Las cosas han cambiado y ahora tengo sentimientos reales hacia Cristina. | ¿Entonces qué.? ¿Por qué rozaste tu pie contra el mío bajo la mesa?,
Vicky Cristina Barcelona_2008_4061345_650,"De acuerdo, lo siento. Me disculpo por mi error.",apologies,0.8,Vicky Cristina Barcelona,"00:44:32,168","00:44:36,439","No lo hice. Cuando te estaba observando. | No. Sí lo hice, fue un error. Mi intención era tocar a Cristina.","Lo siento, fue mi error, pero escucha. | Estás a punto de entrar a una vida completamente diferente.",
Vicky Cristina Barcelona_2008_4061345_651,"Lo siento, fue mi error, pero escucha.",apologies,0.7937422943115235,Vicky Cristina Barcelona,"00:44:36,451","00:44:37,948","No. Sí lo hice, fue un error. Mi intención era tocar a Cristina. | De acuerdo, lo siento. Me disculpo por mi error.",Estás a punto de entrar a una vida completamente diferente. | La vida que siempre buscaste con el hombre que amas.,
Vicky Cristina Barcelona_2008_4061345_657,Por favor.,farewells,0.7843626213073731,Vicky Cristina Barcelona,"00:44:53,504","00:44:54,358",y tuvimos ese ridículo e irracional fin de semana juntos | y ahora no sé donde estoy.,"Estoy con Cristina y tú te casarás en dos semanas, Vicky. | Lo sé.",
Vicky Cristina Barcelona_2008_4061345_694,"¿Qué es esto? Su atención, por favor.",requests,0.8,Vicky Cristina Barcelona,"00:47:21,336","00:47:23,719",Estás enojada porque aplastaron nuestros cerebros con el Bridge. | No me gusta el Bridge. A mi tampoco.,"Cristina y Juan Antonio les envían este regalo de bodas. | Cuando supe que estaba saliendo seriamente con Juan Antonio,",
Vicky Cristina Barcelona_2008_4061345_699,No creo que me guste.,opinions,0.6102414155006409,Vicky Cristina Barcelona,"00:47:34,358","00:47:36,022","no podía creerlo. | Justo lo que necesitamos, un borrón de Rorschach.",Te compraremos uno de Alejandro. | María Elena es. intentó suicidarse.,
Vicky Cristina Barcelona_2008_4061345_704,"Sí, sí, creo que sí. No lo sé, tengo que ir.",opinions,0.8878159666061402,Vicky Cristina Barcelona,"00:48:38,417","00:48:41,735",¿Qué? | ¿Está bien?,¿Dónde vas? | Voy al hospital.,
Vicky Cristina Barcelona_2008_4061345_708,"No creo que sea una buena idea, está hecha un desastre.",opinions,0.7709805154800414,Vicky Cristina Barcelona,"00:48:50,084","00:48:53,368",Voy al hospital. | ¿Debería ir contigo?,"Bueno, llámame si quieres que vaya. | Por supuesto. Muy bien.",
Vicky Cristina Barcelona_2008_4061345_709,"Bueno, llámame si quieres que vaya.",plans,0.8,Vicky Cristina Barcelona,"00:48:54,172","00:48:56,344","¿Debería ir contigo? | No creo que sea una buena idea, está hecha un desastre.",Por supuesto. Muy bien. | Juan Antonio salió corriendo a altas horas de la madrugada.,
Vicky Cristina Barcelona_2008_4061345_710,Por supuesto. Muy bien.,farewells,0.6631029319763184,Vicky Cristina Barcelona,"00:48:56,720","00:48:58,276","No creo que sea una buena idea, está hecha un desastre. | Bueno, llámame si quieres que vaya.","Juan Antonio salió corriendo a altas horas de la madrugada. | Cristina intentó volver a dormirse, pero estaba preocupada.",
Vicky Cristina Barcelona_2008_4061345_717,Aquí tienes que hablar en inglés. Por favor.,requests,0.8,Vicky Cristina Barcelona,"00:49:41,450","00:49:44,011","Cristina, ésta es María Elena. | Me siento como una tonta.","Estoy avergonzada. | No. Por favor, no te avergüences.",
Vicky Cristina Barcelona_2008_4061345_719,"No. Por favor, no te avergüences.",requests,0.8,Vicky Cristina Barcelona,"00:49:48,227","00:49:49,677",Aquí tienes que hablar en inglés. Por favor. | Estoy avergonzada.,¿Puedo darte algo? | Vodka.,
Vicky Cristina Barcelona_2008_4061345_730,"Si quieres darte una ducha, ve allí, a la habitación de invitados.",plans,0.8,Vicky Cristina Barcelona,"00:50:08,550","00:50:11,538","En inglés, en inglés. | Cuando estés aquí, tienes que hablar en inglés.",¿Que estoy de invitada en mi propia casa? | Sí. Eres una invitada.,
Vicky Cristina Barcelona_2008_4061345_731,¿Que estoy de invitada en mi propia casa?,family,0.8,Vicky Cristina Barcelona,"00:50:13,079","00:50:15,081","Cuando estés aquí, tienes que hablar en inglés. | Si quieres darte una ducha, ve allí, a la habitación de invitados.","Sí. Eres una invitada. | Venga, María Elena, por favor.",
Vicky Cristina Barcelona_2008_4061345_733,"Venga, María Elena, por favor.",requests,0.8,Vicky Cristina Barcelona,"00:50:17,597","00:50:19,169",¿Que estoy de invitada en mi propia casa? | Sí. Eres una invitada.,Venga. Ahí. Ya sabes donde está el cuarto. | Bueno. ¿qué pasa?,
Vicky Cristina Barcelona_2008_4061345_738,"Creo que está bien, sí.",opinions,0.9877538585662842,Vicky Cristina Barcelona,"00:50:31,766","00:50:33,284",¿Qué? | Nada. ¿Va todo bien?,Es decir. | no le fue bien en Madrid y.,
Vicky Cristina Barcelona_2008_4061345_784,Aquí tienes que hablar inglés. Por favor.,requests,0.8,Vicky Cristina Barcelona,"00:53:04,333","00:53:08,743",¿Y ella quién es? | Es la mujer con la que vivo.,"¿Por qué? ¿Por ella? | Sí, exacto. Por cortesía.",
Vicky Cristina Barcelona_2008_4061345_800,"En esta casa, habla inglés. Es todo lo que pido.",family,0.8,Vicky Cristina Barcelona,"00:53:53,799","00:53:57,346",Así que no es verdad. | Siempre intentarás imitar lo que tuviste conmigo.,¿De acuerdo? | No me hables así.,
Vicky Cristina Barcelona_2008_4061345_801,¿De acuerdo?,greetings,0.6650212478637696,Vicky Cristina Barcelona,"00:53:57,372","00:53:57,798","Siempre intentarás imitar lo que tuviste conmigo. | En esta casa, habla inglés. Es todo lo que pido.",No me hables así. | ¿Por qué te enfadas conmigo?,
Vicky Cristina Barcelona_2008_4061345_809,"y después, te lo ruego, por favor, ¡sal de mi vida!",farewells,0.6123364639282227,Vicky Cristina Barcelona,"00:54:15,118","00:54:18,338","¡Intentar matarte, por el amor de Dios! | Quédate aquí hasta que te recuperes.","Que cerca estuvimos de la perfección, tú y yo. | Estás muy perjudicada. Y te encanta.",
Vicky Cristina Barcelona_2008_4061345_828,Lo siento.,apologies,0.8,Vicky Cristina Barcelona,"00:55:34,674","00:55:36,010","¿Más café? | Sí, por favor.","Aquí tienes azúcar. | No, gracias.",
Vicky Cristina Barcelona_2008_4061345_834,"En inglés, por favor.",requests,0.8,Vicky Cristina Barcelona,"00:55:53,607","00:55:54,542",El tiempo es estupendo. | Va a llover más tarde.,"No, está bien. | ¿No hablas nada de español?",
